id;start_date;end_date;language
1;2024-06-04T15:30:12;2024-06-04T11:16:37;SPANISH
2;2024-06-03T21:44:22;2024-06-04T06:44:18;ENGLISH
3;2024-06-04T05:02:28;2024-06-03T21:18:23;FRENCH
4;2024-06-03T20:19:51;2024-06-04T04:19:20;SPANISH
5;2024-06-04T16:11:48;2024-06-04T15:43:54;FRENCH
6;2024-06-04T12:27:13;2024-06-04T19:00:34;SPANISH
7;2024-06-04T07:57:15;2024-06-03T20:18:23;FRENCH
8;2024-06-04T02:26:15;2024-06-04T08:23:59;SPANISH
9;2024-06-04T18:18:08;2024-06-04T18:05:54;SPANISH
10;2024-06-04T00:59:36;2024-06-04T19:01:59;FRENCH
